metric,architecture,mean,std,n_numeric,n_na,n_bool
val/routing_precision_matched/E4_LOGIC,mor,N/A,N/A,0,5,0
val/routing_precision_matched/E4_LOGIC,more,0.4636873544,0.131887079,5,0,0
val/routing_precision_matched/E5_SHIFT,moe,0.3045126159,0.0405574797,5,0,0
val/routing_precision_matched/E5_SHIFT,mor,N/A,N/A,0,5,0
val/routing_precision_matched/E5_SHIFT,more,0.230809146,0.1396005393,5,0,0
val/routing_precision_matched/E6_SORT_STAT,moe,0.8631775992,0.1328394901,5,0,0
val/routing_precision_matched/E6_SORT_STAT,mor,N/A,N/A,0,5,0
val/routing_precision_matched/E6_SORT_STAT,more,0.7957288413,0.1843939011,5,0,0
val/routing_purity,moe,0.571455929,0.06296821101,5,0,0
val/routing_purity,mor,N/A,N/A,0,5,0
val/routing_purity,more,0.6047170287,0.06175442829,5,0,0
val/routing_recall/E1_ADD_SUB,moe,0.5095739348,0.3488218715,5,0,0
val/routing_recall/E1_ADD_SUB,mor,N/A,N/A,0,5,0
val/routing_recall/E1_ADD_SUB,more,0.4471177945,0.4688677166,5,0,0
val/routing_recall/E2_MULT_DIV,moe,0.2996555683,0.4470216743,5,0,0
val/routing_recall/E2_MULT_DIV,mor,N/A,N/A,0,5,0
val/routing_recall/E2_MULT_DIV,more,0.2963643322,0.4452507793,5,0,0
val/routing_recall/E3_MOD_POW,moe,0.1130458515,0.2210245789,5,0,0
val/routing_recall/E3_MOD_POW,mor,N/A,N/A,0,5,0
val/routing_recall/E3_MOD_POW,more,0.1277292576,0.2139543906,5,0,0
val/routing_recall/E4_LOGIC,moe,0.1726520126,0.1580090855,5,0,0
val/routing_recall/E4_LOGIC,mor,N/A,N/A,0,5,0
val/routing_recall/E4_LOGIC,more,0.1715101342,0.1497856557,5,0,0
val/routing_recall/E5_SHIFT,moe,0.0037809016,0.008454352993,5,0,0
val/routing_recall/E5_SHIFT,mor,N/A,N/A,0,5,0
val/routing_recall/E5_SHIFT,more,0.00698012603,0.01560803629,5,0,0
val/routing_recall/E6_SORT_STAT,moe,0.1955037469,0.2029874951,5,0,0
val/routing_recall/E6_SORT_STAT,mor,N/A,N/A,0,5,0
val/routing_recall/E6_SORT_STAT,more,0.08029975021,0.1732775105,5,0,0
